OMNET-car[0] - SUMO-car[0]: -1308883068#1
OMNET-car[1] - SUMO-car[10]: -1308883069#3
OMNET-car[2] - SUMO-car[100]: 27781824#3
OMNET-car[3] - SUMO-car[101]: 27781824#4
OMNET-car[4] - SUMO-car[102]: 27781824#4
OMNET-car[5] - SUMO-car[103]: 27781824#4
OMNET-car[6] - SUMO-car[104]: 27781843#0
OMNET-car[7] - SUMO-car[105]: 27781843#0
OMNET-car[8] - SUMO-car[106]: 27781843#0
OMNET-car[9] - SUMO-car[107]: 27781843#1
OMNET-car[10] - SUMO-car[108]: 27781843#1
OMNET-car[11] - SUMO-car[109]: 27781843#1
OMNET-car[12] - SUMO-car[11]: -1308883069#3
OMNET-car[13] - SUMO-car[110]: 27781843#2
OMNET-car[14] - SUMO-car[112]: 27781843#3
OMNET-car[15] - SUMO-car[113]: 27781843#3
OMNET-car[16] - SUMO-car[114]: 27781843#3
OMNET-car[17] - SUMO-car[115]: 27781878
OMNET-car[18] - SUMO-car[116]: 27781878
OMNET-car[19] - SUMO-car[117]: 27781878
OMNET-car[20] - SUMO-car[118]: 27781952#0
OMNET-car[21] - SUMO-car[119]: 27781952#0
OMNET-car[22] - SUMO-car[12]: -1308883069#5
OMNET-car[23] - SUMO-car[120]: 27781952#0
OMNET-car[24] - SUMO-car[121]: 27781952#1
OMNET-car[25] - SUMO-car[122]: 27781952#1
OMNET-car[26] - SUMO-car[123]: 27781952#1
OMNET-car[27] - SUMO-car[124]: 27781952#2
OMNET-car[28] - SUMO-car[125]: 27781952#2
OMNET-car[29] - SUMO-car[126]: 27781952#2
OMNET-car[30] - SUMO-car[127]: 27781952#3
OMNET-car[31] - SUMO-car[128]: 27781952#3
OMNET-car[32] - SUMO-car[129]: 27781952#3
OMNET-car[33] - SUMO-car[13]: -1308883069#5
OMNET-car[34] - SUMO-car[130]: 27781952#4
OMNET-car[35] - SUMO-car[131]: 27781952#4
OMNET-car[36] - SUMO-car[132]: 27781952#4
OMNET-car[37] - SUMO-car[133]: 27781952#5
OMNET-car[38] - SUMO-car[134]: 27781952#5
OMNET-car[39] - SUMO-car[135]: 27781952#5
OMNET-car[40] - SUMO-car[136]: 27782011#0
OMNET-car[41] - SUMO-car[137]: 27782011#0
OMNET-car[42] - SUMO-car[138]: 27782011#0
OMNET-car[43] - SUMO-car[139]: 27782011#1
OMNET-car[44] - SUMO-car[14]: -1308883069#5
OMNET-car[45] - SUMO-car[140]: 27782011#1
OMNET-car[46] - SUMO-car[141]: 27782011#1
OMNET-car[47] - SUMO-car[142]: 27782011#4
OMNET-car[48] - SUMO-car[143]: 27782011#4
OMNET-car[49] - SUMO-car[144]: 27782011#4
OMNET-car[50] - SUMO-car[145]: 27782022#1
OMNET-car[51] - SUMO-car[146]: 27782022#1
OMNET-car[52] - SUMO-car[147]: 27782022#1
OMNET-car[53] - SUMO-car[148]: 27782022#2
OMNET-car[54] - SUMO-car[149]: 27782022#2
OMNET-car[55] - SUMO-car[15]: -138022926
OMNET-car[56] - SUMO-car[150]: 27782022#2
OMNET-car[57] - SUMO-car[151]: 27782022#4
OMNET-car[58] - SUMO-car[152]: 27782022#4
OMNET-car[59] - SUMO-car[153]: 27782022#4
OMNET-car[60] - SUMO-car[154]: 27782024#0
OMNET-car[61] - SUMO-car[155]: 27782024#0
OMNET-car[62] - SUMO-car[156]: 27782024#0
OMNET-car[63] - SUMO-car[157]: 27782024#1
OMNET-car[64] - SUMO-car[158]: 27782024#1
OMNET-car[65] - SUMO-car[159]: 27782024#1
OMNET-car[66] - SUMO-car[16]: -138022926
OMNET-car[67] - SUMO-car[160]: 342452092#1
OMNET-car[68] - SUMO-car[161]: 342452092#1
OMNET-car[69] - SUMO-car[162]: 342452092#1
OMNET-car[70] - SUMO-car[163]: 342452096
OMNET-car[71] - SUMO-car[164]: 342452096
OMNET-car[72] - SUMO-car[165]: 342452096
OMNET-car[73] - SUMO-car[166]: 344744211#0
OMNET-car[74] - SUMO-car[167]: 344744211#0
OMNET-car[75] - SUMO-car[168]: 344744211#0
OMNET-car[76] - SUMO-car[169]: 344744212#0
OMNET-car[77] - SUMO-car[17]: -138022926
OMNET-car[78] - SUMO-car[170]: 344744212#0
OMNET-car[79] - SUMO-car[171]: 344744212#0
OMNET-car[80] - SUMO-car[172]: 344744212#1
OMNET-car[81] - SUMO-car[173]: 344744212#1
OMNET-car[82] - SUMO-car[174]: 344744212#1
OMNET-car[83] - SUMO-car[175]: 346319159
OMNET-car[84] - SUMO-car[176]: 346319159
OMNET-car[85] - SUMO-car[177]: 346319159
OMNET-car[86] - SUMO-car[178]: 371630999#0
OMNET-car[87] - SUMO-car[179]: 371630999#0
OMNET-car[88] - SUMO-car[18]: -342452096
OMNET-car[89] - SUMO-car[180]: 371630999#0
OMNET-car[90] - SUMO-car[181]: 371630999#3
OMNET-car[91] - SUMO-car[182]: 371630999#3
OMNET-car[92] - SUMO-car[183]: 371630999#3
OMNET-car[93] - SUMO-car[184]: 371630999#4
OMNET-car[94] - SUMO-car[185]: 371630999#4
OMNET-car[95] - SUMO-car[186]: 371630999#4
OMNET-car[96] - SUMO-car[187]: 371630999#5
OMNET-car[97] - SUMO-car[188]: 371630999#5
OMNET-car[98] - SUMO-car[189]: 371630999#5
OMNET-car[99] - SUMO-car[19]: -342452096
OMNET-car[100] - SUMO-car[190]: 37464544
OMNET-car[101] - SUMO-car[191]: 37464544
OMNET-car[102] - SUMO-car[192]: 37464544
OMNET-car[103] - SUMO-car[193]: 37688113#0
OMNET-car[104] - SUMO-car[194]: 37688113#0
OMNET-car[105] - SUMO-car[195]: 37688113#0
OMNET-car[106] - SUMO-car[196]: 37688113#1
OMNET-car[107] - SUMO-car[197]: 37688113#1
OMNET-car[108] - SUMO-car[198]: 37688113#1
OMNET-car[109] - SUMO-car[199]: 37688113#2
OMNET-car[110] - SUMO-car[20]: -342452096
OMNET-car[111] - SUMO-car[200]: 37688113#2
OMNET-car[112] - SUMO-car[201]: 37688113#2
OMNET-car[113] - SUMO-car[202]: 37688114
OMNET-car[114] - SUMO-car[203]: 37688114
OMNET-car[115] - SUMO-car[204]: 37688114
OMNET-car[116] - SUMO-car[205]: 37871790#0
OMNET-car[117] - SUMO-car[206]: 37871790#0
OMNET-car[118] - SUMO-car[207]: 37871790#0
OMNET-car[119] - SUMO-car[208]: 37871790#4
OMNET-car[120] - SUMO-car[209]: 37871790#4
OMNET-car[121] - SUMO-car[21]: -37871790#3
OMNET-car[122] - SUMO-car[210]: 37871790#4
OMNET-car[123] - SUMO-car[211]: 37871790#6
OMNET-car[124] - SUMO-car[212]: 37871790#6
OMNET-car[125] - SUMO-car[213]: 37871790#6
OMNET-car[126] - SUMO-car[214]: 37871790#7
OMNET-car[127] - SUMO-car[215]: 37871790#7
OMNET-car[128] - SUMO-car[216]: 37871790#7
OMNET-car[129] - SUMO-car[217]: 42937296
OMNET-car[130] - SUMO-car[218]: 42937296
OMNET-car[131] - SUMO-car[219]: 42937296
OMNET-car[132] - SUMO-car[22]: -37871790#3
OMNET-car[133] - SUMO-car[220]: 449972311#0
OMNET-car[134] - SUMO-car[221]: 449972311#0
OMNET-car[135] - SUMO-car[222]: 449972311#0
OMNET-car[136] - SUMO-car[223]: 449972311#1
OMNET-car[137] - SUMO-car[224]: 449972311#1
OMNET-car[138] - SUMO-car[225]: 449972311#1
OMNET-car[139] - SUMO-car[23]: -37871790#3
OMNET-car[140] - SUMO-car[24]: -37871790#5
OMNET-car[141] - SUMO-car[25]: -37871790#5
OMNET-car[142] - SUMO-car[26]: -37871790#5
OMNET-car[143] - SUMO-car[27]: -37871790#6
OMNET-car[144] - SUMO-car[28]: -37871790#6
OMNET-car[145] - SUMO-car[29]: -37871790#6
OMNET-car[146] - SUMO-car[3]: -1308883069#1
OMNET-car[147] - SUMO-car[30]: -37871790#9
OMNET-car[148] - SUMO-car[31]: -37871790#9
OMNET-car[149] - SUMO-car[32]: -37871790#9
OMNET-car[150] - SUMO-car[33]: -449972311#0
OMNET-car[151] - SUMO-car[34]: -449972311#0
OMNET-car[152] - SUMO-car[35]: -449972311#0
OMNET-car[153] - SUMO-car[36]: -449972311#1
OMNET-car[154] - SUMO-car[37]: -449972311#1
OMNET-car[155] - SUMO-car[38]: -449972311#1
OMNET-car[156] - SUMO-car[39]: 1305447699#0
OMNET-car[157] - SUMO-car[4]: -1308883069#1
OMNET-car[158] - SUMO-car[40]: 1305447699#0
OMNET-car[159] - SUMO-car[41]: 1305447699#0
OMNET-car[160] - SUMO-car[42]: 1305447699#1
OMNET-car[161] - SUMO-car[43]: 1305447699#1
OMNET-car[162] - SUMO-car[44]: 1305447699#1
OMNET-car[163] - SUMO-car[45]: 1308883067
OMNET-car[164] - SUMO-car[46]: 1308883067
OMNET-car[165] - SUMO-car[47]: 1308883067
OMNET-car[166] - SUMO-car[48]: 1308883068#0
OMNET-car[167] - SUMO-car[5]: -1308883069#1
OMNET-car[168] - SUMO-car[51]: 1308883069#0
OMNET-car[169] - SUMO-car[52]: 1308883069#0
OMNET-car[170] - SUMO-car[53]: 1308883069#0
OMNET-car[171] - SUMO-car[54]: 1308883069#2
OMNET-car[172] - SUMO-car[55]: 1308883069#2
OMNET-car[173] - SUMO-car[56]: 1308883069#2
OMNET-car[174] - SUMO-car[57]: 1308883069#3
OMNET-car[175] - SUMO-car[58]: 1308883069#3
OMNET-car[176] - SUMO-car[59]: 1308883069#3
OMNET-car[177] - SUMO-car[6]: -1308883069#2
OMNET-car[178] - SUMO-car[60]: 1308883069#4
OMNET-car[179] - SUMO-car[61]: 1308883069#4
OMNET-car[180] - SUMO-car[62]: 1308883069#4
OMNET-car[181] - SUMO-car[63]: 138022926
OMNET-car[182] - SUMO-car[64]: 138022926
OMNET-car[183] - SUMO-car[65]: 138022926
OMNET-car[184] - SUMO-car[66]: 189868533#0
OMNET-car[185] - SUMO-car[67]: 189868533#0
OMNET-car[186] - SUMO-car[68]: 189868533#0
OMNET-car[187] - SUMO-car[69]: 189868533#2
OMNET-car[188] - SUMO-car[7]: -1308883069#2
OMNET-car[189] - SUMO-car[70]: 189868533#2
OMNET-car[190] - SUMO-car[71]: 189868533#2
OMNET-car[191] - SUMO-car[72]: 262805402#1
OMNET-car[192] - SUMO-car[73]: 262805402#1
OMNET-car[193] - SUMO-car[74]: 262805402#1
OMNET-car[194] - SUMO-car[75]: 262805402#3
OMNET-car[195] - SUMO-car[76]: 262805402#3
OMNET-car[196] - SUMO-car[77]: 262805402#3
OMNET-car[197] - SUMO-car[78]: 26540080#1
OMNET-car[198] - SUMO-car[79]: 26540080#1
OMNET-car[199] - SUMO-car[8]: -1308883069#2
OMNET-car[200] - SUMO-car[80]: 26540080#1
OMNET-car[201] - SUMO-car[81]: 27778904
OMNET-car[202] - SUMO-car[82]: 27778904
OMNET-car[203] - SUMO-car[83]: 27778904
OMNET-car[204] - SUMO-car[84]: 27781315#0
OMNET-car[205] - SUMO-car[85]: 27781315#0
OMNET-car[206] - SUMO-car[86]: 27781315#0
OMNET-car[207] - SUMO-car[87]: 27781315#1
OMNET-car[208] - SUMO-car[88]: 27781315#1
OMNET-car[209] - SUMO-car[89]: 27781315#1
OMNET-car[210] - SUMO-car[9]: -1308883069#3
OMNET-car[211] - SUMO-car[90]: 27781824#0
OMNET-car[212] - SUMO-car[91]: 27781824#0
OMNET-car[213] - SUMO-car[92]: 27781824#1
OMNET-car[214] - SUMO-car[93]: 27781824#1
OMNET-car[215] - SUMO-car[94]: 27781824#1
OMNET-car[216] - SUMO-car[95]: 27781824#2
OMNET-car[217] - SUMO-car[96]: 27781824#2
OMNET-car[218] - SUMO-car[97]: 27781824#2
OMNET-car[219] - SUMO-car[98]: 27781824#3
OMNET-car[220] - SUMO-car[99]: 27781824#3
