OMNET-car[118] - SUMO-car[55]: 1305462800
OMNET-car[119] - SUMO-car[56]: 1305462801
OMNET-car[120] - SUMO-car[57]: 1308883067
OMNET-car[121] - SUMO-car[58]: 1308883068#0
OMNET-car[122] - SUMO-car[59]: 1308883069#0
OMNET-car[123] - SUMO-car[6]: -132079844#0
OMNET-car[124] - SUMO-car[60]: 1308883069#2
OMNET-car[125] - SUMO-car[61]: 1308885439
OMNET-car[126] - SUMO-car[62]: 1308885440
OMNET-car[127] - SUMO-car[63]: 1309404368#0
OMNET-car[128] - SUMO-car[64]: 132079844#0
OMNET-car[129] - SUMO-car[65]: 132079844#1
OMNET-car[130] - SUMO-car[66]: 138022926#1
OMNET-car[131] - SUMO-car[67]: 138022926#2
OMNET-car[132] - SUMO-car[68]: 26540081#10
OMNET-car[133] - SUMO-car[69]: 26540081#11
OMNET-car[134] - SUMO-car[7]: -132079844#1
OMNET-car[135] - SUMO-car[70]: 26540081#5
OMNET-car[136] - SUMO-car[71]: 26540081#6
OMNET-car[137] - SUMO-car[72]: 26540081#7
OMNET-car[138] - SUMO-car[73]: 26540081#8
OMNET-car[139] - SUMO-car[74]: 26540081#9
OMNET-car[140] - SUMO-car[75]: 27781873
OMNET-car[141] - SUMO-car[76]: 27781878
OMNET-car[142] - SUMO-car[77]: 27781952#2
OMNET-car[143] - SUMO-car[78]: 27781952#3
OMNET-car[144] - SUMO-car[79]: 27781952#4
OMNET-car[145] - SUMO-car[8]: -138022926#1
OMNET-car[146] - SUMO-car[80]: 27781952#5
OMNET-car[147] - SUMO-car[81]: 27781952#6
OMNET-car[148] - SUMO-car[82]: 27781952#7
OMNET-car[149] - SUMO-car[83]: 27781952#8
OMNET-car[150] - SUMO-car[84]: 27782011#0
OMNET-car[151] - SUMO-car[85]: 27782011#1
OMNET-car[152] - SUMO-car[86]: 27782011#2
OMNET-car[153] - SUMO-car[87]: 27782011#5
OMNET-car[154] - SUMO-car[88]: 27782022#1
OMNET-car[155] - SUMO-car[89]: 27782022#2
OMNET-car[156] - SUMO-car[9]: -138022926#2
OMNET-car[157] - SUMO-car[90]: 27782022#3
OMNET-car[158] - SUMO-car[91]: 27782022#5
OMNET-car[159] - SUMO-car[92]: 27782022#6
OMNET-car[160] - SUMO-car[93]: 27782022#7
OMNET-car[161] - SUMO-car[94]: 27782022#8
OMNET-car[162] - SUMO-car[95]: 27782022#9
OMNET-car[163] - SUMO-car[96]: 27782024#0
OMNET-car[164] - SUMO-car[97]: 27782024#1
OMNET-car[165] - SUMO-car[98]: 316545169
OMNET-car[166] - SUMO-car[99]: 342452092#1
