vehículo[0]: 0.104533333333336Mbps
vehículo[1]: 24.825173333333602Mbps
vehículo[2]: 24.825173333333602Mbps
vehículo[3]: 24.826666666666398Mbps
vehículo[4]: 24.82592Mbps
vehículo[5]: 24.8289066666664Mbps
vehículo[6]: 24.8289066666664Mbps
vehículo[7]: 0.09482666666666399Mbps
vehículo[8]: 0.082133333333336Mbps
vehículo[9]: 0.09482666666666399Mbps
vehículo[10]: 24.82816Mbps
vehículo[11]: 24.82816Mbps
vehículo[12]: 0.09482666666666399Mbps
vehículo[13]: 24.8244266666664Mbps
vehículo[14]: 24.8274133333336Mbps
vehículo[15]: 24.825173333333602Mbps
vehículo[16]: 24.825173333333602Mbps
vehículo[17]: 24.8274133333336Mbps
vehículo[18]: 24.82816Mbps
vehículo[19]: 0.09482666666666399Mbps
vehículo[20]: 24.8274133333336Mbps
vehículo[21]: 24.82816Mbps
vehículo[22]: 24.82592Mbps
vehículo[23]: 7.53162666666664Mbps
vehículo[24]: 24.82816Mbps
vehículo[25]: 24.825173333333602Mbps
vehículo[26]: 0.1344Mbps
vehículo[27]: 5.94346666666664Mbps
vehículo[28]: 24.8289066666664Mbps
vehículo[29]: 24.8289066666664Mbps
vehículo[30]: 24.8274133333336Mbps
vehículo[31]: 24.82592Mbps
vehículo[32]: 24.826666666666398Mbps
vehículo[33]: 0.09482666666666399Mbps
vehículo[34]: 7.30538666666664Mbps
vehículo[35]: 24.8274133333336Mbps
vehículo[36]: 24.82592Mbps
vehículo[37]: 24.82816Mbps
vehículo[38]: 24.8221866666664Mbps
vehículo[39]: 0.07392Mbps
vehículo[40]: 0.09482666666666399Mbps
vehículo[41]: 0.07392Mbps
vehículo[42]: 0.09482666666666399Mbps
vehículo[43]: 0.09482666666666399Mbps
vehículo[44]: 0.09482666666666399Mbps
vehículo[45]: 6.272Mbps
vehículo[46]: 24.82592Mbps
vehículo[47]: 0.082133333333336Mbps
vehículo[48]: 24.82592Mbps
vehículo[49]: 24.82592Mbps
vehículo[50]: 24.8274133333336Mbps
vehículo[51]: 24.8274133333336Mbps
vehículo[52]: 24.8244266666664Mbps
vehículo[53]: 8.5538133333336Mbps
vehículo[54]: 24.8289066666664Mbps
vehículo[55]: 0.09482666666666399Mbps
vehículo[56]: 24.825173333333602Mbps
