vehículo[154]: 0.10752Mbps
vehículo[155]: 0.09408Mbps
vehículo[156]: 0.09482666666666399Mbps
vehículo[157]: 0.09482666666666399Mbps
vehículo[158]: 0.09482666666666399Mbps
vehículo[159]: 24.825173333333602Mbps
vehículo[160]: 24.8162133333336Mbps
vehículo[161]: 0.09482666666666399Mbps
vehículo[162]: 0.123946666666664Mbps
vehículo[163]: 24.8221866666664Mbps
vehículo[164]: 24.8184533333336Mbps
vehículo[165]: 24.8206933333336Mbps
vehículo[166]: 24.81696Mbps
vehículo[167]: 24.8177066666664Mbps
vehículo[168]: 24.5825066666664Mbps
vehículo[169]: 0.09482666666666399Mbps
vehículo[170]: 24.8132266666664Mbps
vehículo[171]: 0.09482666666666399Mbps
vehículo[172]: 24.82592Mbps
vehículo[173]: 24.825173333333602Mbps
vehículo[174]: 24.8274133333336Mbps
vehículo[175]: 24.7982933333336Mbps
vehículo[176]: 0.253866666666664Mbps
vehículo[177]: 0.15008Mbps
vehículo[178]: 24.8274133333336Mbps
vehículo[179]: 0.09482666666666399Mbps
vehículo[180]: 0.09482666666666399Mbps
vehículo[181]: 0.09482666666666399Mbps
vehículo[182]: 0.04928Mbps
vehículo[183]: 0.082133333333336Mbps
vehículo[184]: 0.0664533333333336Mbps
vehículo[185]: 0.0664533333333336Mbps
vehículo[186]: 0.09482666666666399Mbps
vehículo[187]: 0.082133333333336Mbps
vehículo[188]: 0.07392Mbps
vehículo[189]: 0.09408Mbps
vehículo[190]: 0.0664533333333336Mbps
vehículo[191]: 0.04928Mbps
vehículo[192]: 0.09408Mbps
vehículo[193]: 0.09408Mbps
vehículo[194]: 0.07392Mbps
vehículo[195]: 0.09408Mbps
vehículo[196]: 0.09408Mbps
vehículo[197]: 0.09482666666666399Mbps
vehículo[198]: 0.09408Mbps
vehículo[199]: 0.082133333333336Mbps
vehículo[200]: 0.09408Mbps
vehículo[201]: 11.825706666666399Mbps
vehículo[202]: 0.09408Mbps
vehículo[203]: 0.09408Mbps
vehículo[204]: 24.7803733333336Mbps
vehículo[205]: 0.10976Mbps
vehículo[206]: 24.80128Mbps
vehículo[207]: 24.8206933333336Mbps
vehículo[208]: 24.6989866666664Mbps
vehículo[209]: 21.0888533333336Mbps
vehículo[210]: 18.33664Mbps
vehículo[211]: 0.09482666666666399Mbps
vehículo[212]: 0.10677333333333601Mbps
vehículo[213]: 0.2464Mbps
vehículo[214]: 24.8184533333336Mbps
vehículo[215]: 24.8206933333336Mbps
vehículo[216]: 24.8162133333336Mbps
vehículo[217]: 24.62208Mbps
vehículo[218]: 0.09482666666666399Mbps
vehículo[219]: 0.09482666666666399Mbps
vehículo[220]: 22.66432Mbps
vehículo[221]: 0.097813333333336Mbps
vehículo[222]: 0.0283733333333336Mbps
vehículo[223]: 0.09408Mbps
vehículo[224]: 0.04256Mbps
vehículo[225]: 0.0664533333333336Mbps
vehículo[226]: 0.0664533333333336Mbps
vehículo[227]: 0.082133333333336Mbps
vehículo[228]: 0.09408Mbps
vehículo[229]: 0.09408Mbps
vehículo[230]: 0.09408Mbps
vehículo[231]: 0.09408Mbps
vehículo[232]: 0.09408Mbps
vehículo[233]: 0.09408Mbps
vehículo[234]: 0.09408Mbps
vehículo[235]: 0.09408Mbps
vehículo[236]: 0.101546666666664Mbps
vehículo[237]: 0.09408Mbps
vehículo[238]: 0.09408Mbps
vehículo[239]: 0.09408Mbps
vehículo[240]: 24.7893333333336Mbps
vehículo[241]: 0.09408Mbps
vehículo[242]: 0.09408Mbps
vehículo[243]: 0.09482666666666399Mbps
vehículo[244]: 0.100053333333336Mbps
vehículo[245]: 24.825173333333602Mbps
vehículo[246]: 24.82816Mbps
vehículo[247]: 24.8289066666664Mbps
vehículo[248]: 24.825173333333602Mbps
vehículo[249]: 24.8289066666664Mbps
vehículo[250]: 24.82592Mbps
vehículo[251]: 24.825173333333602Mbps
vehículo[252]: 0.09408Mbps
vehículo[253]: 24.8289066666664Mbps
vehículo[254]: 24.82816Mbps
vehículo[255]: 24.825173333333602Mbps
vehículo[256]: 24.82816Mbps
vehículo[257]: 24.82592Mbps
vehículo[258]: 24.8289066666664Mbps
vehículo[259]: 24.82816Mbps
vehículo[260]: 24.8274133333336Mbps
vehículo[261]: 24.825173333333602Mbps
vehículo[262]: 24.8289066666664Mbps
vehículo[263]: 0.07392Mbps
vehículo[264]: 0.09482666666666399Mbps
vehículo[265]: 0.09482666666666399Mbps
vehículo[266]: 0.09482666666666399Mbps
vehículo[267]: 0.09482666666666399Mbps
vehículo[268]: 13.20032Mbps
vehículo[269]: 0.09482666666666399Mbps
vehículo[270]: 17.5003733333336Mbps
vehículo[271]: 10.5018666666664Mbps
vehículo[272]: 0.09482666666666399Mbps
vehículo[273]: 0.09482666666666399Mbps
vehículo[274]: 0.09408Mbps
vehículo[275]: 0.09482666666666399Mbps
vehículo[276]: 0.09482666666666399Mbps
vehículo[277]: 0.09482666666666399Mbps
vehículo[278]: 0.09482666666666399Mbps
vehículo[279]: 0.0574933333333336Mbps
vehículo[280]: 0.082133333333336Mbps
vehículo[281]: 24.82816Mbps
vehículo[282]: 24.8274133333336Mbps
vehículo[283]: 24.82592Mbps
vehículo[284]: 24.825173333333602Mbps
vehículo[285]: 0.09408Mbps
vehículo[286]: 24.8274133333336Mbps
vehículo[287]: 24.82592Mbps
vehículo[288]: 24.82816Mbps
vehículo[289]: 24.8274133333336Mbps
vehículo[290]: 24.826666666666398Mbps
vehículo[291]: 24.82816Mbps
vehículo[292]: 24.8274133333336Mbps
vehículo[293]: 24.82816Mbps
vehículo[294]: 24.82592Mbps
vehículo[295]: 24.826666666666398Mbps
vehículo[296]: 0.09408Mbps
vehículo[297]: 24.826666666666398Mbps
