OMNET-car[0] - SUMO-car[0]: -1236916919#2
OMNET-car[1] - SUMO-car[1]: -1308883068#1
OMNET-car[2] - SUMO-car[10]: -1308883069#3
OMNET-car[3] - SUMO-car[100]: 1308883061#3
OMNET-car[4] - SUMO-car[101]: 1308883061#3
OMNET-car[5] - SUMO-car[102]: 1308883061#3
OMNET-car[6] - SUMO-car[103]: 1308883061#4
OMNET-car[7] - SUMO-car[104]: 1308883061#4
OMNET-car[8] - SUMO-car[105]: 1308883061#4
OMNET-car[9] - SUMO-car[106]: 1308883067
OMNET-car[10] - SUMO-car[107]: 1308883067
OMNET-car[11] - SUMO-car[108]: 1308883067
OMNET-car[12] - SUMO-car[109]: 1308883068#0
OMNET-car[13] - SUMO-car[11]: -1308883069#3
OMNET-car[14] - SUMO-car[112]: 1308883069#0
OMNET-car[15] - SUMO-car[113]: 1308883069#0
OMNET-car[16] - SUMO-car[114]: 1308883069#0
OMNET-car[17] - SUMO-car[115]: 1308883069#2
OMNET-car[18] - SUMO-car[116]: 1308883069#2
OMNET-car[19] - SUMO-car[117]: 1308883069#2
OMNET-car[20] - SUMO-car[118]: 1308883069#3
OMNET-car[21] - SUMO-car[119]: 1308883069#3
OMNET-car[22] - SUMO-car[12]: -1308883069#3
OMNET-car[23] - SUMO-car[120]: 1308883069#3
OMNET-car[24] - SUMO-car[121]: 1308883069#4
OMNET-car[25] - SUMO-car[122]: 1308883069#4
OMNET-car[26] - SUMO-car[123]: 1308883069#4
OMNET-car[27] - SUMO-car[124]: 1308885439
OMNET-car[28] - SUMO-car[125]: 1308885439
OMNET-car[29] - SUMO-car[126]: 1308885439
OMNET-car[30] - SUMO-car[127]: 138022926#1
OMNET-car[31] - SUMO-car[128]: 138022926#1
OMNET-car[32] - SUMO-car[129]: 138022926#1
OMNET-car[33] - SUMO-car[13]: -1308883069#5
OMNET-car[34] - SUMO-car[130]: 138022926#2
OMNET-car[35] - SUMO-car[131]: 138022926#2
OMNET-car[36] - SUMO-car[132]: 138022926#2
OMNET-car[37] - SUMO-car[133]: 189868533#1
OMNET-car[38] - SUMO-car[134]: 189868533#1
OMNET-car[39] - SUMO-car[135]: 189868533#1
