OMNET-car[0] - SUMO-car[0]: -1236916919#2
OMNET-car[1] - SUMO-car[1]: -1308883068#1
OMNET-car[2] - SUMO-car[10]: -37871790#15
OMNET-car[3] - SUMO-car[100]: 342452092#1
OMNET-car[4] - SUMO-car[101]: 342452096
OMNET-car[5] - SUMO-car[102]: 344744211#0
OMNET-car[6] - SUMO-car[103]: 344744212#0
OMNET-car[7] - SUMO-car[104]: 344744212#1
OMNET-car[8] - SUMO-car[105]: 344744212#2
OMNET-car[9] - SUMO-car[106]: 346316518
OMNET-car[10] - SUMO-car[107]: 346316519#0
OMNET-car[11] - SUMO-car[108]: 346316519#1
OMNET-car[12] - SUMO-car[109]: 346316520
OMNET-car[13] - SUMO-car[11]: -37871790#17
OMNET-car[14] - SUMO-car[110]: 346316521
OMNET-car[15] - SUMO-car[111]: 346319158#0
OMNET-car[16] - SUMO-car[112]: 346319158#1
OMNET-car[17] - SUMO-car[113]: 346319158#2
OMNET-car[18] - SUMO-car[114]: 346319158#3
OMNET-car[19] - SUMO-car[115]: 346319159
OMNET-car[20] - SUMO-car[116]: 353164584
OMNET-car[21] - SUMO-car[117]: 353784734#1
OMNET-car[22] - SUMO-car[118]: 353784734#2
OMNET-car[23] - SUMO-car[119]: 359289122
OMNET-car[24] - SUMO-car[12]: -37871790#19
OMNET-car[25] - SUMO-car[120]: 371630999#0
OMNET-car[26] - SUMO-car[121]: 371630999#3
OMNET-car[27] - SUMO-car[122]: 371630999#4
OMNET-car[28] - SUMO-car[123]: 371630999#5
OMNET-car[29] - SUMO-car[124]: 371630999#6
OMNET-car[30] - SUMO-car[125]: 37464544
OMNET-car[31] - SUMO-car[126]: 37468440#0
OMNET-car[32] - SUMO-car[127]: 37468440#1
OMNET-car[33] - SUMO-car[128]: 37468442#2
OMNET-car[34] - SUMO-car[129]: 37480174#1
OMNET-car[35] - SUMO-car[13]: -37871790#21
OMNET-car[36] - SUMO-car[130]: 37480174#2
OMNET-car[37] - SUMO-car[131]: 37480174#3
OMNET-car[38] - SUMO-car[132]: 37480174#4
OMNET-car[39] - SUMO-car[133]: 37480177
OMNET-car[40] - SUMO-car[134]: 37480178
OMNET-car[41] - SUMO-car[135]: 37688113#1
OMNET-car[42] - SUMO-car[136]: 37688113#2
OMNET-car[43] - SUMO-car[137]: 37688113#3
OMNET-car[44] - SUMO-car[138]: 37688113#4
OMNET-car[45] - SUMO-car[139]: 37688113#5
OMNET-car[46] - SUMO-car[14]: -449972311#0
OMNET-car[47] - SUMO-car[140]: 37688114#1
OMNET-car[48] - SUMO-car[141]: 37688114#2
OMNET-car[49] - SUMO-car[142]: 37871790#14
OMNET-car[50] - SUMO-car[143]: 37871790#16
OMNET-car[51] - SUMO-car[144]: 37871790#19
OMNET-car[52] - SUMO-car[145]: 37871790#20
OMNET-car[53] - SUMO-car[146]: 42937296
OMNET-car[54] - SUMO-car[147]: 449972311#0
OMNET-car[55] - SUMO-car[148]: 449972311#1
OMNET-car[56] - SUMO-car[149]: 667827203#0
OMNET-car[57] - SUMO-car[15]: -449972311#1
OMNET-car[58] - SUMO-car[150]: 667827203#1
OMNET-car[59] - SUMO-car[151]: 667827203#5
OMNET-car[60] - SUMO-car[152]: 667827203#6
OMNET-car[61] - SUMO-car[153]: 667827203#7
OMNET-car[62] - SUMO-car[154]: 80376790#1
OMNET-car[63] - SUMO-car[155]: 83095270#0
OMNET-car[64] - SUMO-car[156]: 948706821
OMNET-car[65] - SUMO-car[16]: 1111320700#0
OMNET-car[66] - SUMO-car[17]: 1111320700#1
OMNET-car[67] - SUMO-car[18]: 1236916912#1
OMNET-car[68] - SUMO-car[19]: 1236916913#1
OMNET-car[69] - SUMO-car[2]: -1308883069#1
OMNET-car[70] - SUMO-car[20]: 1236916913#2
OMNET-car[71] - SUMO-car[21]: 1236916913#3
OMNET-car[72] - SUMO-car[22]: 1236916914#1
OMNET-car[73] - SUMO-car[23]: 1236916917#1
OMNET-car[74] - SUMO-car[24]: 1236916919#0
OMNET-car[75] - SUMO-car[25]: 125665635#1
OMNET-car[76] - SUMO-car[26]: 1305447698#1
OMNET-car[77] - SUMO-car[27]: 1305447699#0
OMNET-car[78] - SUMO-car[28]: 1305447699#1
OMNET-car[79] - SUMO-car[29]: 1305447699#2
OMNET-car[80] - SUMO-car[3]: -1308883069#2
OMNET-car[81] - SUMO-car[30]: 1305447699#3
OMNET-car[82] - SUMO-car[31]: 1305447701#1
OMNET-car[83] - SUMO-car[32]: 1305447704
OMNET-car[84] - SUMO-car[33]: 1305447705#0
OMNET-car[85] - SUMO-car[34]: 1308883061#1
OMNET-car[86] - SUMO-car[35]: 1308883061#2
OMNET-car[87] - SUMO-car[36]: 1308883061#3
OMNET-car[88] - SUMO-car[37]: 1308883061#4
OMNET-car[89] - SUMO-car[38]: 1308883067
OMNET-car[90] - SUMO-car[39]: 1308883068#0
OMNET-car[91] - SUMO-car[4]: -1308883069#3
OMNET-car[92] - SUMO-car[40]: 1308883069#0
OMNET-car[93] - SUMO-car[41]: 1308883069#2
OMNET-car[94] - SUMO-car[42]: 1308883069#3
OMNET-car[95] - SUMO-car[43]: 1308883069#4
OMNET-car[96] - SUMO-car[44]: 1308885439
OMNET-car[97] - SUMO-car[45]: 138022926#1
OMNET-car[98] - SUMO-car[46]: 138022926#2
OMNET-car[99] - SUMO-car[47]: 189868533#1
OMNET-car[100] - SUMO-car[48]: 189868533#3
OMNET-car[101] - SUMO-car[49]: 189868533#4
OMNET-car[102] - SUMO-car[5]: -1308883069#5
OMNET-car[103] - SUMO-car[50]: 23182314
OMNET-car[104] - SUMO-car[51]: 23182365
OMNET-car[105] - SUMO-car[52]: 23182366
OMNET-car[106] - SUMO-car[53]: 262805402#1
OMNET-car[107] - SUMO-car[54]: 262805402#3
OMNET-car[108] - SUMO-car[55]: 262805402#4
OMNET-car[109] - SUMO-car[56]: 26540080#1
OMNET-car[110] - SUMO-car[57]: 27778904
OMNET-car[111] - SUMO-car[58]: 27781315#0
OMNET-car[112] - SUMO-car[59]: 27781315#1
OMNET-car[113] - SUMO-car[6]: -138022926#1
OMNET-car[114] - SUMO-car[60]: 27781315#2
OMNET-car[115] - SUMO-car[61]: 27781315#3
OMNET-car[116] - SUMO-car[62]: 27781803#0
OMNET-car[117] - SUMO-car[63]: 27781803#1
OMNET-car[118] - SUMO-car[64]: 27781803#2
OMNET-car[119] - SUMO-car[65]: 27781803#3
OMNET-car[120] - SUMO-car[66]: 27781803#4
OMNET-car[121] - SUMO-car[67]: 27781803#5
OMNET-car[122] - SUMO-car[68]: 27781803#6
OMNET-car[123] - SUMO-car[69]: 27781803#7
OMNET-car[124] - SUMO-car[7]: -138022926#2
OMNET-car[125] - SUMO-car[70]: 27781824#0
OMNET-car[126] - SUMO-car[71]: 27781824#1
OMNET-car[127] - SUMO-car[72]: 27781824#2
OMNET-car[128] - SUMO-car[73]: 27781824#3
OMNET-car[129] - SUMO-car[74]: 27781824#4
OMNET-car[130] - SUMO-car[75]: 27781824#5
OMNET-car[131] - SUMO-car[76]: 27781824#6
OMNET-car[132] - SUMO-car[77]: 27781843#1
OMNET-car[133] - SUMO-car[78]: 27781843#2
OMNET-car[134] - SUMO-car[79]: 27781843#3
OMNET-car[135] - SUMO-car[8]: -342452096
OMNET-car[136] - SUMO-car[80]: 27781873
OMNET-car[137] - SUMO-car[81]: 27781878
OMNET-car[138] - SUMO-car[82]: 27781952#2
OMNET-car[139] - SUMO-car[83]: 27781952#3
OMNET-car[140] - SUMO-car[84]: 27781952#4
OMNET-car[141] - SUMO-car[85]: 27781952#5
OMNET-car[142] - SUMO-car[86]: 27781952#6
OMNET-car[143] - SUMO-car[87]: 27781952#7
OMNET-car[144] - SUMO-car[88]: 27781952#8
OMNET-car[145] - SUMO-car[89]: 27782011#0
OMNET-car[146] - SUMO-car[9]: -353164584
OMNET-car[147] - SUMO-car[90]: 27782011#1
OMNET-car[148] - SUMO-car[91]: 27782011#2
OMNET-car[149] - SUMO-car[92]: 27782011#5
OMNET-car[150] - SUMO-car[93]: 27782022#1
OMNET-car[151] - SUMO-car[94]: 27782022#2
OMNET-car[152] - SUMO-car[95]: 27782022#3
OMNET-car[153] - SUMO-car[96]: 27782022#5
OMNET-car[154] - SUMO-car[97]: 27782024#0
OMNET-car[155] - SUMO-car[98]: 27782024#1
OMNET-car[156] - SUMO-car[99]: 324352204
