OMNET-car[95] - SUMO-car[5]: -1307250188#2
OMNET-car[96] - SUMO-car[50]: 1305462794#3
OMNET-car[97] - SUMO-car[51]: 1305462795#0
OMNET-car[98] - SUMO-car[52]: 1305462795#1
OMNET-car[99] - SUMO-car[53]: 1305462797#0
OMNET-car[100] - SUMO-car[54]: 1305462797#1
OMNET-car[101] - SUMO-car[55]: 1305462798#0
OMNET-car[102] - SUMO-car[56]: 1305462800
OMNET-car[103] - SUMO-car[57]: 1305462801
OMNET-car[104] - SUMO-car[58]: 1307250188#0
OMNET-car[105] - SUMO-car[59]: 1308883065
OMNET-car[106] - SUMO-car[6]: -1308883069#1
OMNET-car[107] - SUMO-car[60]: 1308883069#0
OMNET-car[108] - SUMO-car[61]: 1308883069#2
OMNET-car[109] - SUMO-car[62]: 1309404366#0
OMNET-car[110] - SUMO-car[63]: 1309404367#0
OMNET-car[111] - SUMO-car[64]: 1309404368#0
OMNET-car[112] - SUMO-car[65]: 133270816#0
OMNET-car[113] - SUMO-car[66]: 133270848#0
OMNET-car[114] - SUMO-car[67]: 133270848#3
OMNET-car[115] - SUMO-car[68]: 133270848#4
OMNET-car[116] - SUMO-car[69]: 170397679#0
OMNET-car[117] - SUMO-car[7]: -1308883069#2
OMNET-car[118] - SUMO-car[70]: 170397682#0
OMNET-car[119] - SUMO-car[71]: 170397682#1
OMNET-car[120] - SUMO-car[72]: 170397682#2
OMNET-car[121] - SUMO-car[73]: 170397682#5
OMNET-car[122] - SUMO-car[74]: 170397682#6
OMNET-car[123] - SUMO-car[75]: 26540081#2
OMNET-car[124] - SUMO-car[76]: 26540081#3
OMNET-car[125] - SUMO-car[77]: 26540081#4
OMNET-car[126] - SUMO-car[78]: 26540081#5
OMNET-car[127] - SUMO-car[79]: 26540081#6
OMNET-car[128] - SUMO-car[8]: -133270816#2
OMNET-car[129] - SUMO-car[80]: 26540081#7
OMNET-car[130] - SUMO-car[81]: 26540081#8
OMNET-car[131] - SUMO-car[82]: 27781931#2
OMNET-car[132] - SUMO-car[83]: 27781952#2
OMNET-car[133] - SUMO-car[84]: 27781952#3
OMNET-car[134] - SUMO-car[85]: 27781952#4
OMNET-car[135] - SUMO-car[86]: 27781952#5
OMNET-car[136] - SUMO-car[87]: 27782011#0
OMNET-car[137] - SUMO-car[88]: 27782011#1
OMNET-car[138] - SUMO-car[89]: 27782011#2
OMNET-car[139] - SUMO-car[9]: -133270848#2
OMNET-car[140] - SUMO-car[90]: 27782011#5
OMNET-car[141] - SUMO-car[91]: 27782022#2
OMNET-car[142] - SUMO-car[92]: 27782022#3
OMNET-car[143] - SUMO-car[93]: 27782022#5
OMNET-car[144] - SUMO-car[94]: 27782022#6
OMNET-car[145] - SUMO-car[95]: 27782022#7
OMNET-car[146] - SUMO-car[96]: 27782022#8
OMNET-car[147] - SUMO-car[97]: 27782022#9
OMNET-car[148] - SUMO-car[98]: 310919274#0
OMNET-car[149] - SUMO-car[99]: 310919274#1
